Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Harsheel Shah,996387,Gymkhana,"Gymkhana,NTS Bosch Gymkhana,JiuZhou Gymkhana,ICONS,DTB Gymkhana",All Rounder,Right Handed Batter,Left Arm Off Spin
Hassan Sangwale,1007494,Flashnet Strikers,"Strikers,Sklpsc,Gymkhana,Reliance Twiga Titans,Honest Logistics Sklpsc,Remax Strikers,Buffalo Blasters,Flashnet Strikers",Bowler,Right Handed Batter,Right Arm Fast
Ibrahim Mullaji,1008157,Lions CC,"Gymkhana,Lions CC",All Rounder,Right Handed Batter,Right Arm Medium
Jay Hirwania,996394,Aksc B,"Serengeti Giants,Gymkhana,Ilala Boys,Royal Rhinos,Toyam Chui Challengers,NTS Bosch Gymkhana,JiuZhou Gymkhana,Buffalo Blasters,Aces B,Aksc B,DTB Gymkhana,Simba Heroes",Bowler,Right Handed Batter,Right Arm Leg Spin
Jayantilal Pindoria,1172774,Sklpsc A,"Sklpsc,Sklpsc A,Gymkhana,Honest Logistics Sklpsc,Chui Challengers,Ateme Sklpsc,Chui Riders",Bowler,Right Handed Batter,Left Arm Medium
Kartik Syal,996385,Aurobindo Aksc,"Serengeti Giants,Kinondoni Development,Gymkhana,Aksc,Royal Rhinos,Delaware Twiga Titans,Aurobindo Aksc,NTS Bosch Gymkhana,Reliance Twiga Titans,Chui Challengers,DTB Gymkhana,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Medium
Meet Jetha,996391,Karibu Tanzanite DCC,"DCC,Karibu Tanzanite DCC,Gymkhana,Dcc A,Dcc,ICONS,LEGENDS,Dar Legends XI,Horizon Teleports DCC,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Medium
Rishi Shah,996395,Gymkhana,Gymkhana,All Rounder,Right Handed Batter,Right Arm Medium
Vaibhav Patel,996386,Upanga Sports Club,"FMED Upanga,Gymkhana,Upanga Sports Club,Upanga SC - B,Black & Decker Upanga",Bowler,Right Handed Batter,Left Arm Off Spin
Vishal Patel,996381,Aurobindo Aksc,"Aksc,Tembo Warriors,Gymkhana,Simba Kings,Aurobindo Aksc,Pacific Tembo Stars,Buffalo Blasters,I&M Aurobindo Aksc,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Off Spin
Yakesh Patel,996384,Gymkhana,"Gymkhana,Buffalo Blasters,Gymkhana B,DTB Gymkhana,LEGENDS",All Rounder,Right Handed Batter,Right Arm Medium
Ashmir Bade,996402,Harab Motors Pak Stars,"Gp,Harab Motors Pak Stars,Pak Stars",All Rounder,Right Handed Batter,Right Arm Medium
Ayaz Mustafa,996403,Harab Motors Pak Stars,"Alliance Stars,Gp,Pak Stars,Aruti Aces,GP Pak Stars,Meru Royal Rhinos,Tembo Stars,CTV Royal Rhinos,Flashnet Pak Stars,Pak Stars A,Harab Motors Pak Stars,GIANTS,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Medium
Basit Raza,996406,Harab Motors Pak Stars,"Gp,Pak Stars,Twiga Titans,SKY Simba Kings,Harab Motors Pak Stars,Flashnet Pak Stars,ICONS,Pak Stars A,Simba Heroes",All Rounder,Right Handed Batter,Right Arm Medium
Farhan Atiq,996408,Harab Motors Pak Stars,"Gp,Pak Stars,Harab Motors Pak Stars,Flashnet Pak Stars,Pak Stars A",All Rounder,Right Handed Batter,Right Arm Medium
Hayat Khan,996404,Gp,Gp,All Rounder,Right Handed Batter,Right Arm Medium
Kashif Adnan,996405,Harab Motors Pak Stars,"Gp,Harab Motors Pak Stars,Flashnet Pak Stars,Pak Stars,Pak Stars A",All Rounder,Right Handed Batter,Right Arm Medium
Maqsood Alam,996399,Azania Bank Pak Stars,"Gp,Pak Stars,Harab Motors Pak Stars,Flashnet Pak Stars,Pak Stars B,Azania Bank Pak Stars",All Rounder,Right Handed Batter,Right Arm Medium
Muhammad Mansoor,996409,Azania Bank Pak Stars,"Gp,GP,Pak Stars,GP Pak Stars,Pak Stars B,Azania Bank Pak Stars,Azania Bank Stars",All Rounder,Right Handed Batter,Right Arm Medium
Muzamil Hussain,996397,Azania Bank Pak Stars,"Petrofuel Stars,GP,Gp,GP Pak Stars,G1 Buffalo Blasters,Toyam Chui Challengers,Pak Stars,Simba Kings,Pak Stars B,Azania Bank Pak Stars,Azania Bank Stars,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Medium
Nisar Ahmed,996407,Harab Motors Pak Stars,"Alliance Stars,Gp,Pak Stars,G1 Buffalo Blasters,Tembo Stars,Harab Motors Pak Stars,Reliance Twiga Titans,Flashnet Pak Stars,Pak Stars A,TITANS,Buffalo Gladiators",All Rounder,Right Handed Batter,Right Arm Leg Spin
Rana Waqas,996396,Harab Motors Pak Stars,"Gp,Pak Stars,Harab Motors Pak Stars,Flashnet Pak Stars,Pak Stars A",Bowler,Right Handed Batter,Right Arm Medium
Sheraz Khan,996400,Pak Stars,"Gp,Pak Stars,GP Pak Stars,Chui Challengers,Flashnet Pak Stars,TITANS,Harab Motors Pak Stars",All Rounder,Right Handed Batter,Right Arm Medium
Stewart Kaduma,996411,Ngorongoro Titans,"Gp,Ngorongoro Titans,Simba Kings",Wicket Keeper,Right Handed Batter,Right Arm Medium
Tabish Rehman,996412,Gp,Gp,All Rounder,Right Handed Batter,Right Arm Medium
Tambwe Rashidi,996398,Gymkhana,"Ngorongoro Titans,Gymkhana,Gp,GP Pak Stars,Tembo Stars,SKY Simba Kings,JiuZhou Gymkhana,Twiga Titans,Chui Riders,DTB Gymkhana",All Rounder,Right Handed Batter,Left Arm Off Spin
Wahid Hussain,996401,Azania Bank Pak Stars,"GP,Gp,GP Pak Stars,Chui Challengers,G1 Buffalo Blasters,Toyam Chui Challengers,Harab Motors Pak Stars,Pak Stars,Pak Stars B,Azania Bank Pak Stars,Azania Bank Stars,Twiga Masters",Bowler,Right Handed Batter,Left Arm Medium
